class	class label	rhea_name	info	score	ambiguous_with	ambiguous_with label
CHEBI:75799	3-beta-D-glucosyl-1,2-diacyl-sn-glycerol	1,2-diacyl-3-O-(beta-D-glucopyranosyl)-sn-glycerol	newsyn	0.9		
CHEBI:140310	phenyl acetates	phenyl acetate	ambiguous(http://purl.obolibrary.org/obo/CHEBI_8082)	0.6666666666666666	CHEBI:8082	phenyl acetate
CHEBI:33853	phenols	phenol	ambiguous(http://purl.obolibrary.org/obo/CHEBI_15882)	0.5	CHEBI:15882	phenol
CHEBI:133507	beta-D-galactosyl-(1->4)-N-acetyl-beta-D-glucosaminide	beta-D-galactosyl-(1->4)-N-acetyl-beta-D-glucosaminyl derivative	newsyn	0.9		
CHEBI:57560	long-chain fatty acid anion	long-chain fatty acid	ambiguous(http://purl.obolibrary.org/obo/CHEBI_15904)	0.8	CHEBI:15904	long-chain fatty acid
CHEBI:83411	beta-D-glucosiduronate	beta-D-glucuronoside	newsyn	0.75		
CHEBI:83721	long-chain 3-substituted propanoyl-CoA(4-)	long-chain 2,3-saturated fatty acyl-CoA	newsyn	0.875		
CHEBI:83727	long-chain 2,3-trans-enoyl CoA(4-)	long-chain (2E)-enoyl-CoA	newsyn	0.8333333333333334		
CHEBI:17002	cholesteryl ester	cholesterol ester	newsyn	0.6666666666666666		
CHEBI:33566	catechols	catechol	ambiguous(http://purl.obolibrary.org/obo/CHEBI_18135)	0.5	CHEBI:18135	catechol
CHEBI:134251	guaiacols	guaiacol	ambiguous(http://purl.obolibrary.org/obo/CHEBI_28591)	0.5	CHEBI:28591	guaiacol
CHEBI:55465	7-hydroxyisoflavones	7-hydroxyisoflavone	ambiguous(http://purl.obolibrary.org/obo/CHEBI_12256)	0.6666666666666666	CHEBI:12256	7-hydroxyisoflavone
CHEBI:140356	7-methoxyisoflavones	7-methoxyisoflavone	ambiguous(http://purl.obolibrary.org/obo/CHEBI_12257)	0.6666666666666666	CHEBI:12257	7-methoxyisoflavone
CHEBI:57560	long-chain fatty acid anion	long-chain fatty acid	ambiguous(http://purl.obolibrary.org/obo/CHEBI_15904)	0.8	CHEBI:15904	long-chain fatty acid
CHEBI:57880	1-phosphatidyl-1D-myo-inositol(1-)	1,2-diacyl-sn-glycero-3-phospho-(1D-myo-inositol)	newsyn	0.9		
CHEBI:64771	1-acyl-sn-glycero-3-phospho-1D-myo-inositol(1-)	1-acyl-sn-glycero-3-phospho-(1D-myo-inositol)	newsyn	1		
CHEBI:29067	carboxylic acid anion	carboxylate	newsyn	0.5		
CHEBI:57930	nucleoside 5'-diphosphate(3-)	ribonucleoside 5'-diphosphate	ambiguous(http://purl.obolibrary.org/obo/CHEBI_37075)	0.75	CHEBI:37075	ribonucleoside 5'-diphosphate
CHEBI:61557	nucleoside triphosphate(4-)	ribonucleoside 5'-triphosphate	ambiguous(http://purl.obolibrary.org/obo/CHEBI_37076)	0.75	CHEBI:37076	ribonucleoside 5'-triphosphate
CHEBI:35179	2-oxo monocarboxylic acid anion	2-oxocarboxylate	newsyn	0.6666666666666666		
CHEBI:35179	2-oxo monocarboxylic acid anion	2-oxocarboxylate	newsyn	0.6666666666666666		
CHEBI:65111	3-substituted propionyl-CoA(4-)	2,3-saturated acyl-CoA	newsyn	0.8		
CHEBI:58856	2,3-trans-enoyl CoA(4-)	(2E)-enoyl CoA	newsyn	0		
CHEBI:16291	1-alkyl-2-acetyl-sn-glycerol	1-O-alkyl-2-acetyl-sn-glycerol	newsyn	0.875		
CHEBI:29067	carboxylic acid anion	carboxylate	newsyn	0.5		
CHEBI:65295	N-alkylphthalic monoamide(1-)	phtalamide	newsyn	0.5		
CHEBI:65296	primary ammonium ion	primary amine	ambiguous(http://purl.obolibrary.org/obo/CHEBI_32877)	0.6666666666666666	CHEBI:32877	primary amine
CHEBI:59876	N-acyl-D-alpha-amino acid anion	N-acyl-D-amino acid	ambiguous(http://purl.obolibrary.org/obo/CHEBI_15778)	0.8333333333333334	CHEBI:15778	N-acyl-D-amino acid
CHEBI:29067	carboxylic acid anion	carboxylate	newsyn	0.5		
CHEBI:59871	D-alpha-amino acid zwitterion	D-amino acid	newsyn	0.75		
CHEBI:59871	D-alpha-amino acid zwitterion	D-amino acid	newsyn	0.75		
CHEBI:138483	cis-3,4-dialkyloxetan-2-one	cis-3-alkyl-4-alkyloxetan-2-one	newsyn	0.875		
CHEBI:140303	beta-D-galactosyl-(1->4)-beta-D-glucoside	beta-D-galactosyl-(1->4)-beta-D-glucosyl derivative	newsyn	0.875		
CHEBI:140302	beta-D-galactosyl-(1->3)-beta-D-galactosyl-(1->4)-beta-D-glucoside	beta-D-galactosyl-(1->3)-beta-D-galactosyl-(1->4)-beta-D-glucosaminyl derivative	newsyn	0.8888888888888888		
CHEBI:28868	fatty acid anion	fatty acid	ambiguous(http://purl.obolibrary.org/obo/CHEBI_35366)	0.6666666666666666	CHEBI:35366	fatty acid
CHEBI:29067	carboxylic acid anion	carboxylate	newsyn	0.5		
CHEBI:133470	beta-D-galactosyl-(1->3)-N-acetyl-alpha-D-galactosaminide	beta-D-galactosyl-(1->3)-N-acetyl-alpha-D-galactosaminyl derivative	newsyn	0.9090909090909091		
CHEBI:139604	beta-D-galactosyl-(1->3)-[N-acetyl-beta-D-glucosaminyl-(1->6)]-N-acetyl-alpha-D-galactosaminide	beta-D-galactosyl-(1->3)-[N-acetyl-beta-D-glucosaminyl-(1->6)]-N-acetyl-alpha-D-galactosaminyl derivative	newsyn	0.9230769230769231		
CHEBI:28868	fatty acid anion	fatty acid	ambiguous(http://purl.obolibrary.org/obo/CHEBI_35366)	0.6666666666666666	CHEBI:35366	fatty acid
CHEBI:17408	monoglyceride	monoacylglycerol	newsyn	0.5		
CHEBI:138951	3'-hydroxy-5'-unsubstituted flavanone	3'-hydroxy,5'-unsubstituted flavanone	newsyn	0.8		
CHEBI:136891	2'-unsubstituted isoflavones	2'-unsubstituted isoflavone	newsyn	0.75		
CHEBI:28206	2'-hydroxyisoflavones	2'-hydroxyisoflavone	newsyn	0.6666666666666666		
CHEBI:29067	carboxylic acid anion	carboxylate	newsyn	0.5		
CHEBI:138441	(3R,4R)-3-acyl-4-(hydroxymethyl)oxolan-2-one	(3R,4R)-3-alkanoyl-4-(hydroxymethyl)oxolan-2-one	newsyn	0		
