rhea_participant	pred	xrefs	chebi	chebi label	ambigs	ambigs label	ambig_relations	inchitest
(-)-dehydrodiconiferyl acid carboxylate	related	UniProt	CHEBI:131934	(-)-DCA-CC(2-)	related+http://purl.obolibrary.org/obo/CHEBI_132249		http://purl.obolibrary.org/obo/chebi#is_conjugate_acid_of	same_inchikey
(-)-dehydrodiconiferyl acid ketone	related	UniProt	CHEBI:131933	(-)-DCA-CL(1-)				different_inchikeys
(-)-delta-cadinene	exact	UniProt	CHEBI:63703	(-)-delta-cadinene				different_inchikeys
(-)-deoxypodophyllotoxin	related	UniProt	CHEBI:4429	deoxypodophyllotoxin				different_inchikeys
(-)-endo-alpha-bergamotene	exact	UniProt	CHEBI:61679	(-)-endo-alpha-bergamotene				different_inchikeys
(-)-ent-copalol	exact	UniProt	CHEBI:76950	(-)-ent-copalol				different_inchikeys
(-)-exo-alpha-bergamotene	exact	UniProt	CHEBI:62756	(-)-exo-alpha-bergamotene				different_inchikeys
(-)-gamma-cadinene	exact	UniProt	CHEBI:63203	(-)-gamma-cadinene				different_inchikeys
(-)-geosmin	exact	UniProt	CHEBI:46702	(-)-geosmin				different_inchikeys
(-)-germacrene D	exact	UniProt	CHEBI:49044	(-)-germacrene D				different_inchikeys
(-)-kolavenyl diphosphate	related	UniProt	CHEBI:138310	(-)-kolavenyl diphosphate(3-)	label+http://purl.obolibrary.org/obo/CHEBI_139033		http://purl.obolibrary.org/obo/chebi#is_conjugate_acid_of	same_inchikey
(-)-lariciresinol	exact	UniProt	CHEBI:67244	(-)-lariciresinol				different_inchikeys
(-)-matairesinol	exact	UniProt	CHEBI:6698	(-)-matairesinol				different_inchikeys
(-)-medicarpin	exact	UniProt	CHEBI:100	(-)-medicarpin				different_inchikeys
(-)-menthol	exact	UniProt	CHEBI:15409	(-)-menthol				different_inchikeys
(-)-menthyl beta-D-glucoside	exact	UniProt	CHEBI:15411	(-)-menthyl beta-D-glucoside				different_inchikeys
(-)-pinoresinol	exact	UniProt	CHEBI:67245	(-)-pinoresinol				different_inchikeys
(-)-pluviatolide	exact	UniProt	CHEBI:90896	(-)-pluviatolide				different_inchikeys
(-)-secoisolariciresinol	exact	UniProt	CHEBI:65004	(-)-secoisolariciresinol				different_inchikeys
(-)-solanapyrone A	related	ChemIDplus|UniProt	CHEBI:38229	solanapyrone A				different_inchikeys
(-)-spiroviolene	exact	UniProt	CHEBI:137523	(-)-spiroviolene				different_inchikeys
(-)-trans-permethrin	exact	UniProt	CHEBI:62523	(-)-trans-permethrin				different_inchikeys
(-)-vetispiradiene	related	ChEBI|UniProt	CHEBI:46971	premnaspirodiene				different_inchikeys
(-)-yatein	related	UniProt	CHEBI:4553	dihydroanhydropodorhizol				different_inchikeys
